H,R,T
disease-0011,expression,disease-0272
disease-0059,abolish,gene-00295
disease-0059,abolish,gene-00942
disease-0059,abolish,small_molecule-28869
disease-0059,activate,disease-4564
disease-0059,activate,gene-00175
disease-0059,activate,gene-04177
disease-0059,affect,drug-10124
disease-0059,affect,gene-00085
disease-0059,affect,gene-00286
disease-0059,affect,gene-00293
disease-0059,affect,gene-03079
disease-0059,affect,gene-03339
disease-0059,affect,gene-04480
disease-0059,affect,gene-05292
disease-0059,affect,gene-06848
disease-0059,affect,hpo-08732
disease-0059,affect,hpo-09091
disease-0059,affect,protein-03175
disease-0059,affect,small_molecule-02452
disease-0059,affect,small_molecule-06848
disease-0059,affect,small_molecule-15375
disease-0059,affect,small_molecule-22543
disease-0059,affect,small_molecule-27595
disease-0059,affect,small_molecule-28869
disease-0059,affect,small_molecule-35419
disease-0059,affect,small_molecule-42530
disease-0059,analyz,gene-05292
disease-0059,analyz,gene-06437
disease-0059,analyz,gene-07671
disease-0059,associate,disease-1414
disease-0059,associate,disease-1503
disease-0059,associate,disease-1705
disease-0059,associate,disease-5103
disease-0059,associate,drug-00108
disease-0059,associate,drug-01857
disease-0059,associate,drug-04295
disease-0059,associate,drug-08462
disease-0059,associate,gene-00120
disease-0059,associate,gene-00228
disease-0059,associate,gene-00295
disease-0059,associate,gene-00482
disease-0059,associate,gene-00776
disease-0059,associate,gene-00913
disease-0059,associate,gene-00982
disease-0059,associate,gene-01459
disease-0059,associate,gene-01461
disease-0059,associate,gene-02816
disease-0059,associate,gene-02948
disease-0059,associate,gene-03332
disease-0059,associate,gene-03339
disease-0059,associate,gene-03782
disease-0059,associate,gene-04470
disease-0059,associate,gene-04480
disease-0059,associate,gene-04481
disease-0059,associate,gene-05292
disease-0059,associate,gene-05710
disease-0059,associate,gene-06437
disease-0059,associate,gene-08110
disease-0059,associate,gene-11279
disease-0059,associate,gene-11539
disease-0059,associate,gene-12104
disease-0059,associate,gene-14115
disease-0059,associate,gene-19434
disease-0059,associate,gene-22611
disease-0059,associate,hpo-02571
disease-0059,associate,hpo-05246
disease-0059,associate,hpo-08732
disease-0059,associate,hpo-09060
disease-0059,associate,hpo-09084
disease-0059,associate,hpo-09089
disease-0059,associate,hpo-09091
disease-0059,associate,hpo-09379
disease-0059,associate,hpo-09425
disease-0059,associate,hpo-09652
disease-0059,associate,hpo-09741
disease-0059,associate,hpo-12470
disease-0059,associate,hpo-12952
disease-0059,associate,hpo-13319
disease-0059,associate,hpo-13528
disease-0059,associate,hpo-13562
disease-0059,associate,protein-03073
disease-0059,associate,protein-03175
disease-0059,associate,small_molecule-03166
disease-0059,associate,small_molecule-03559
disease-0059,associate,small_molecule-04630
disease-0059,associate,small_molecule-04973
disease-0059,associate,small_molecule-06686
disease-0059,associate,small_molecule-06844
disease-0059,associate,small_molecule-08654
disease-0059,associate,small_molecule-09064
disease-0059,associate,small_molecule-14469
disease-0059,associate,small_molecule-16163
disease-0059,associate,small_molecule-24878
disease-0059,associate,small_molecule-25559
disease-0059,associate,small_molecule-35025
disease-0059,associate,small_molecule-35412
disease-0059,associate,small_molecule-51485
disease-0059,associate,small_molecule-56959
disease-0059,bind,gene-00295
disease-0059,bind,gene-03783
disease-0059,bind,protein-11985
disease-0059,cause,gene-00293
disease-0059,cause,gene-00295
disease-0059,cause,gene-00776
disease-0059,cause,gene-02500
disease-0059,cause,gene-03339
disease-0059,cause,gene-03390
disease-0059,cause,gene-04480
disease-0059,cause,gene-04481
disease-0059,cause,gene-09422
disease-0059,cause,gene-09721
disease-0059,cause,gene-12104
disease-0059,cause,hpo-08732
disease-0059,cause,hpo-09071
disease-0059,cause,hpo-09089
disease-0059,cause,hpo-09091
disease-0059,cause,hpo-09413
disease-0059,cause,hpo-09419
disease-0059,cause,hpo-13059
disease-0059,cause,hpo-13074
disease-0059,cause,hpo-13319
disease-0059,cause,hpo-13543
disease-0059,cause,hpo-13562
disease-0059,cause,small_molecule-06520
disease-0059,cause,small_molecule-06748
disease-0059,cause,small_molecule-07509
disease-0059,cause,small_molecule-28869
disease-0059,change,disease-1705
disease-0059,change,gene-00293
disease-0059,change,gene-00476
disease-0059,change,gene-00486
disease-0059,change,gene-03407
disease-0059,change,hpo-08732
disease-0059,change,hpo-09091
disease-0059,change,hpo-09419
disease-0059,change,hpo-13562
disease-0059,change,small_molecule-11220
disease-0059,change,small_molecule-42530
disease-0059,confer,gene-00293
disease-0059,confer,protein-03175
disease-0059,conside,disease-0484
disease-0059,consist,gene-00295
disease-0059,consist,hpo-09060
disease-0059,consist,hpo-09091
disease-0059,consist,hpo-09425
disease-0059,consist,small_molecule-28869
disease-0059,contain,disease-3983
disease-0059,contain,gene-00295
disease-0059,contain,gene-03339
disease-0059,contain,gene-06848
disease-0059,contain,hpo-08732
disease-0059,contain,hpo-09091
disease-0059,contain,hpo-09419
disease-0059,contain,hpo-12817
disease-0059,contain,small_molecule-28869
disease-0059,demonstr,hpo-08732
disease-0059,demonstr,hpo-13562
disease-0059,demonstr,small_molecule-03166
disease-0059,demonstr,small_molecule-04812
disease-0059,detect,gene-04480
disease-0059,detect,hpo-09089
disease-0059,detect,hpo-09091
disease-0059,detect,small_molecule-08470
disease-0059,detect,small_molecule-28869
disease-0059,develop,gene-00293
disease-0059,develop,hpo-09091
disease-0059,develop,hpo-12941
disease-0059,develop,hpo-13073
disease-0059,develop,protein-03073
disease-0059,develop,small_molecule-03166
disease-0059,develop,small_molecule-28869
disease-0059,disrupt,gene-00295
disease-0059,disrupt,hpo-09091
disease-0059,encode,gene-00293
disease-0059,encode,gene-00295
disease-0059,encode,gene-04480
disease-0059,evalu,gene-00293
disease-0059,exist,disease-1581
disease-0059,exist,gene-00293
disease-0059,exist,gene-00295
disease-0059,exist,gene-01503
disease-0059,exist,gene-03339
disease-0059,exist,gene-06848
disease-0059,exist,hpo-08732
disease-0059,exist,hpo-09091
disease-0059,exist,protein-03175
disease-0059,exist,small_molecule-28869
disease-0059,expression,drug-00135
disease-0059,expression,gene-00286
disease-0059,expression,gene-02354
disease-0059,expression,gene-02889
disease-0059,expression,gene-03339
disease-0059,expression,gene-04480
disease-0059,expression,gene-05044
disease-0059,expression,gene-05736
disease-0059,expression,gene-07915
disease-0059,expression,gene-09304
disease-0059,expression,gene-12258
disease-0059,expression,protein-03073
disease-0059,feature,disease-1581
disease-0059,feature,drug-04295
disease-0059,feature,drug-08462
disease-0059,feature,gene-00942
disease-0059,feature,gene-03339
disease-0059,feature,gene-03770
disease-0059,feature,gene-04480
disease-0059,feature,gene-06848
disease-0059,feature,hpo-03244
disease-0059,feature,hpo-08732
disease-0059,feature,hpo-09089
disease-0059,feature,hpo-09090
disease-0059,feature,hpo-09413
disease-0059,feature,hpo-09419
disease-0059,feature,hpo-09425
disease-0059,feature,hpo-09729
disease-0059,feature,small_molecule-28869
disease-0059,feature,small_molecule-36362
disease-0059,focus,gene-21835
disease-0059,found,gene-00240
disease-0059,found,gene-03336
disease-0059,found,gene-03339
disease-0059,found,gene-04976
disease-0059,found,gene-09287
disease-0059,found,hpo-08732
disease-0059,found,hpo-09091
disease-0059,function,hpo-09089
disease-0059,function,hpo-09091
disease-0059,gene,gene-00293
disease-0059,gene,gene-04449
disease-0059,gene,gene-04481
disease-0059,gene,gene-09564
disease-0059,gene,protein-03175
disease-0059,generate,gene-00295
disease-0059,generate,gene-03766
disease-0059,generate,gene-09564
disease-0059,generate,hpo-08732
disease-0059,generate,small_molecule-06649
disease-0059,generate,small_molecule-28869
disease-0059,have,gene-00295
disease-0059,have,gene-02153
disease-0059,identifi,gene-00228
disease-0059,identifi,gene-01117
disease-0059,identifi,gene-06437
disease-0059,identifi,small_molecule-36362
disease-0059,improve,hpo-09419
disease-0059,increase,drug-00728
disease-0059,increase,drug-01968
disease-0059,increase,drug-02970
disease-0059,increase,gene-00293
disease-0059,increase,gene-00295
disease-0059,increase,gene-00482
disease-0059,increase,gene-01167
disease-0059,increase,gene-02219
disease-0059,increase,gene-03816
disease-0059,increase,gene-09564
disease-0059,increase,hpo-08732
disease-0059,increase,hpo-09419
disease-0059,increase,hpo-10098
disease-0059,increase,hpo-13303
disease-0059,increase,hpo-13528
disease-0059,increase,small_molecule-04889
disease-0059,increase,small_molecule-21797
disease-0059,increase,small_molecule-28869
disease-0059,increase,small_molecule-53776
disease-0059,inhibit,protein-03175
disease-0059,inhibit,small_molecule-28869
disease-0059,initi,gene-00295
disease-0059,interact,gene-00281
disease-0059,interact,gene-01416
disease-0059,interact,gene-03339
disease-0059,interact,gene-04480
disease-0059,interact,gene-05647
disease-0059,interact,protein-03073
disease-0059,interact,protein-03175
disease-0059,interact,small_molecule-03166
disease-0059,interact,small_molecule-04812
disease-0059,marker,hpo-09091
disease-0059,marker,hpo-13074
disease-0059,marker,protein-03175
disease-0059,marker,small_molecule-03166
disease-0059,marker,small_molecule-28869
disease-0059,mutate,gene-00295
disease-0059,mutate,gene-04480
disease-0059,mutate,gene-04481
disease-0059,mutate,hpo-09379
disease-0059,observe,gene-00486
disease-0059,observe,gene-06912
disease-0059,observe,gene-13318
disease-0059,observe,gene-14297
disease-0059,observe,hpo-05246
disease-0059,observe,small_molecule-18664
disease-0059,occur,gene-03339
disease-0059,occur,small_molecule-28869
disease-0059,patholog,disease-1280
disease-0059,patholog,disease-5103
disease-0059,patholog,drug-04295
disease-0059,patholog,gene-00293
disease-0059,patholog,gene-00295
disease-0059,patholog,gene-02831
disease-0059,patholog,gene-02948
disease-0059,patholog,hpo-08732
disease-0059,patholog,hpo-09091
disease-0059,patholog,hpo-10127
disease-0059,patholog,hpo-13074
disease-0059,patholog,hpo-13562
disease-0059,patholog,hpo-13632
disease-0059,patholog,protein-03175
disease-0059,patholog,small_molecule-28869
disease-0059,phosphorylation,hpo-08732
disease-0059,potenti,gene-03339
disease-0059,predict,gene-05292
disease-0059,predict,gene-08110
disease-0059,predict,gene-12104
disease-0059,prevent,gene-03339
disease-0059,prevent,hpo-09091
disease-0059,produce,gene-00295
disease-0059,production,gene-00295
disease-0059,production,hpo-09091
disease-0059,production,small_molecule-05736
disease-0059,production,small_molecule-23683
disease-0059,production,small_molecule-28869
disease-0059,protect,drug-00127
disease-0059,reduce,drug-01218
disease-0059,reduce,gene-00293
disease-0059,reduce,gene-01167
disease-0059,reduce,gene-02197
disease-0059,reduce,gene-03339
disease-0059,reduce,hpo-08732
disease-0059,reduce,hpo-09091
disease-0059,reduce,hpo-09564
disease-0059,reduce,small_molecule-02452
disease-0059,reduce,small_molecule-03166
disease-0059,reduce,small_molecule-24530
disease-0059,reduce,small_molecule-25891
disease-0059,reduce,small_molecule-28869
disease-0059,reduce,small_molecule-35142
disease-0059,regulate,drug-00975
disease-0059,regulate,drug-02970
disease-0059,regulate,gene-00837
disease-0059,regulate,gene-02804
disease-0059,regulate,gene-02889
disease-0059,regulate,gene-03339
disease-0059,regulate,gene-03815
disease-0059,regulate,gene-05456
disease-0059,regulate,gene-05708
disease-0059,regulate,gene-11539
disease-0059,regulate,gene-12104
disease-0059,regulate,gene-18687
disease-0059,regulate,protein-03533
disease-0059,regulate,protein-05287
disease-0059,regulate,small_molecule-08426
disease-0059,require,hpo-08732
disease-0059,reverse,gene-06848
disease-0059,reverse,hpo-09091
disease-0059,risk,disease-3983
disease-0059,risk,gene-00293
disease-0059,risk,gene-02768
disease-0059,risk,gene-09584
disease-0059,risk,hpo-09091
disease-0059,risk,hpo-09419
disease-0059,risk,hpo-13562
disease-0059,risk,small_molecule-14292
disease-0059,show,drug-01049
disease-0059,show,gene-00295
disease-0059,show,gene-02768
disease-0059,show,hpo-09081
disease-0059,show,hpo-09090
disease-0059,show,hpo-09091
disease-0059,show,hpo-13562
disease-0059,show,small_molecule-03166
disease-0059,show,small_molecule-06845
disease-0059,show,small_molecule-28869
disease-0059,stimul,gene-03339
disease-0059,studi,gene-00293
disease-0059,studi,gene-00295
disease-0059,studi,gene-12324
disease-0059,studi,small_molecule-31150
disease-0059,treat,drug-08521
disease-0059,treat,small_molecule-14913
disease-0059,treat,small_molecule-26836
disease-0085,cause,gene-00272
disease-0085,cause,hpo-03244
disease-0148,cause,gene-07001
disease-0151,associate,gene-05736
disease-0151,gene,hpo-13593
disease-0151,identifi,small_molecule-53522
disease-0151,show,small_molecule-35412
disease-0191,improve,hpo-09415
disease-0191,reduce,disease-0869
disease-0191,reduce,small_molecule-35412
disease-0202,associate,small_molecule-35412
disease-0208,marker,small_molecule-35412
disease-0209,associate,small_molecule-35284
disease-0209,treat,disease-0869
disease-0213,associate,small_molecule-35412
disease-0213,cause,hpo-13647
disease-0213,change,small_molecule-10932
disease-0213,expression,hpo-09415
disease-0213,prevent,small_molecule-02451
disease-0270,associate,gene-04480
disease-0270,cause,gene-07391
disease-0270,change,gene-04481
disease-0270,risk,gene-01659
disease-0270,risk,small_molecule-15375
disease-0270,risk,small_molecule-15376
disease-0315,exist,hpo-04970
disease-0315,exist,hpo-13361
disease-0315,feature,hpo-04999
