H,R,T
disease-0121,associate,phenotype-13006
disease-0121,inhibit,gene-24108
disease-0159,inhibit,small_molecule-36531
disease-0209,found,gene-00166
disease-0209,found,gene-02889
disease-0209,gene,small_molecule-10507
disease-0272,bind,gene-20404
disease-0573,show,gene-08649
disease-0649,develop,phenotype-06983
disease-0649,develop,phenotype-07641
disease-0649,encode,gene-15902
disease-1015,cause,gene-01762
disease-1015,treat,gene-05143
disease-1083,patholog,gene-20404
disease-1382,associate,phenotype-07166
disease-1382,associate,phenotype-13474
disease-1382,predict,gene-01138
disease-1382,studi,phenotype-13474
disease-1382,treat,phenotype-10006
disease-1382,treat,phenotype-10178
disease-1405,feature,phenotype-12624
disease-1405,show,phenotype-10169
disease-1405,show,phenotype-12624
disease-1432,affect,gene-00512
disease-1432,associate,disease-3497
disease-1432,cause,phenotype-10187
disease-1432,contain,gene-00199
disease-1432,demonstr,gene-16045
disease-1432,enhance,gene-00512
disease-1432,enhance,small_molecule-02181
disease-1432,feature,gene-00982
disease-1468,identifi,gene-06369
disease-1472,associate,gene-01859
disease-1472,associate,phenotype-13610
disease-1486,cause,gene-01811
disease-1488,show,gene-00757
disease-1488,studi,drug-08196
disease-1636,identifi,gene-20404
disease-1689,feature,phenotype-00622
disease-1689,feature,phenotype-00730
disease-1689,feature,phenotype-01324
disease-1689,feature,phenotype-04820
disease-1700,associate,gene-20404
disease-1700,associate,phenotype-13610
disease-1700,expression,disease-4933
disease-1700,expression,phenotype-13610
disease-1746,occur,disease-4933
disease-1746,potenti,gene-20404
disease-1777,inhibit,gene-03472
disease-1777,regulate,gene-03472
disease-1822,change,gene-00972
disease-1822,change,gene-01565
disease-1822,change,gene-02804
disease-1822,change,gene-02910
disease-1822,change,gene-03608
disease-1824,cause,disease-4933
disease-1824,cause,phenotype-02571
disease-2005,affect,gene-02438
disease-2005,affect,gene-20404
disease-2005,affect,phenotype-13581
disease-2005,affect,small_molecule-05173
disease-2005,associate,disease-4933
disease-2005,associate,gene-00941
disease-2005,associate,gene-00943
disease-2005,associate,gene-02958
disease-2005,associate,gene-03472
disease-2005,associate,gene-07930
disease-2005,associate,gene-20404
disease-2005,associate,phenotype-09956
disease-2005,associate,phenotype-13600
disease-2005,associate,small_molecule-44523
disease-2005,cause,phenotype-09983
disease-2005,confer,gene-20404
disease-2005,contain,disease-4933
disease-2005,contain,gene-04978
disease-2005,contain,mirna-0136
disease-2005,contain,mirna-0551
disease-2005,contain,mirna-0754
disease-2005,control,disease-4933
disease-2005,develop,disease-4933
disease-2005,develop,phenotype-13596
disease-2005,differenti,disease-4933
disease-2005,differenti,gene-20404
disease-2005,exist,gene-20404
disease-2005,exist,phenotype-13596
disease-2005,expression,gene-01844
disease-2005,expression,gene-03424
disease-2005,expression,gene-04551
disease-2005,found,gene-20404
disease-2005,gene,gene-00183
disease-2005,gene,gene-03284
disease-2005,gene,gene-03526
disease-2005,gene,gene-06885
disease-2005,identifi,gene-20404
disease-2005,identifi,phenotype-13040
disease-2005,increase,phenotype-13600
disease-2005,increase,small_molecule-16742
disease-2005,observe,gene-20404
disease-2005,patholog,gene-20404
disease-2005,risk,disease-4933
disease-2005,risk,gene-20404
disease-2005,risk,small_molecule-04497
disease-2005,serve,gene-20404
disease-2005,show,gene-07417
disease-2005,studi,disease-4933
