H,R,T
disease-0011,develop,gene-03483
disease-0011,develop,hpo-09156
disease-0011,develop,hpo-13548
disease-0011,feature,hpo-09159
disease-0011,occur,hpo-12671
disease-0080,expression,gene-03804
disease-0080,mutate,drug-00296
disease-0080,mutate,small_molecule-16674
disease-0081,identifi,hpo-00342
disease-0181,associate,disease-0271
disease-0181,expression,gene-01565
disease-0181,have,gene-00851
disease-0181,reduce,hpo-09983
disease-0181,regulate,gene-00485
disease-0181,regulate,gene-00486
disease-0181,regulate,gene-03368
disease-0181,regulate,gene-13746
disease-0181,serve,gene-07126
disease-0181,show,gene-04790
disease-0207,associate,hpo-04562
disease-0207,risk,hpo-06503
disease-0213,activate,gene-00175
disease-0213,activate,gene-02000
disease-0213,activate,gene-04423
disease-0213,affect,hpo-04562
disease-0213,associate,disease-0271
disease-0213,associate,hpo-13631
disease-0213,increase,hpo-13648
disease-0213,treat,hpo-13043
disease-0259,cause,hpo-12470
disease-0259,detect,small_molecule-04369
disease-0259,expression,disease-0271
disease-0259,reduce,disease-0271
disease-0270,act,gene-05298
disease-0270,act,small_molecule-29023
disease-0270,associate,disease-0271
disease-0270,associate,disease-2005
disease-0270,associate,disease-4959
disease-0270,associate,drug-00503
disease-0270,associate,gene-00555
disease-0270,associate,gene-03522
disease-0270,associate,gene-03614
disease-0270,associate,gene-04536
disease-0270,associate,gene-05191
disease-0270,associate,gene-05353
disease-0270,associate,gene-05736
disease-0270,associate,gene-09802
disease-0270,associate,gene-24068
disease-0270,associate,hpo-06503
disease-0270,associate,small_molecule-10588
disease-0270,cause,disease-0969
disease-0270,cause,gene-18428
disease-0270,contain,gene-05736
disease-0270,demonstr,gene-01565
disease-0270,depend,gene-04132
disease-0270,develop,hpo-06461
disease-0270,develop,hpo-13648
disease-0270,differenti,gene-01681
disease-0270,evalu,drug-08277
disease-0270,expression,disease-4103
disease-0270,expression,gene-02584
disease-0270,expression,gene-04551
disease-0270,expression,gene-17080
disease-0270,expression,gene-24181
disease-0270,expression,protein-14475
disease-0270,feature,disease-0271
disease-0270,found,gene-00485
disease-0270,identifi,disease-1250
disease-0270,increase,gene-00553
disease-0270,increase,hpo-13581
disease-0270,increase,small_molecule-07699
disease-0270,inhibit,gene-02584
disease-0270,inhibit,gene-04551
disease-0270,inhibit,protein-03002
disease-0270,maintain,gene-16064
disease-0270,mutate,gene-00553
disease-0270,mutate,gene-00555
disease-0270,mutate,gene-04536
disease-0270,observe,disease-0271
disease-0270,regulate,gene-00842
disease-0270,regulate,gene-09802
disease-0270,regulate,hpo-09639
disease-0270,regulate,protein-04100
disease-0270,response,drug-09939
disease-0270,risk,disease-1250
disease-0270,risk,disease-2005
disease-0270,risk,hpo-06463
disease-0270,risk,small_molecule-34508
disease-0270,risk,small_molecule-35149
disease-0270,risk,small_molecule-35497
disease-0270,risk,small_molecule-46971
disease-0270,show,disease-3258
disease-0270,show,gene-03352
disease-0270,show,gene-09443
disease-0270,show,small_molecule-06616
disease-0270,transloc,small_molecule-35496
disease-0271,abolish,drug-09798
disease-0271,abolish,gene-01711
disease-0271,abolish,gene-11062
disease-0271,act,gene-01630
disease-0271,act,gene-04000
disease-0271,act,gene-05532
disease-0271,act,gene-06599
disease-0271,act,gene-06881
disease-0271,act,gene-11171
disease-0271,act,gene-12993
disease-0271,act,gene-13642
disease-0271,act,gene-24146
disease-0271,act,hpo-13648
disease-0271,activate,drug-09798
disease-0271,activate,drug-11123
disease-0271,activate,drug-12873
disease-0271,activate,gene-00005
disease-0271,activate,gene-00175
disease-0271,activate,gene-00270
disease-0271,activate,gene-00554
disease-0271,activate,gene-01123
disease-0271,activate,gene-01222
disease-0271,activate,gene-01565
disease-0271,activate,gene-01645
disease-0271,activate,gene-02000
disease-0271,activate,gene-02513
disease-0271,activate,gene-02587
disease-0271,activate,gene-02667
disease-0271,activate,gene-03014
disease-0271,activate,gene-03112
disease-0271,activate,gene-03118
disease-0271,activate,gene-03297
disease-0271,activate,gene-03451
disease-0271,activate,gene-03759
disease-0271,activate,gene-03770
disease-0271,activate,gene-03855
disease-0271,activate,gene-03871
disease-0271,activate,gene-04174
disease-0271,activate,gene-04175
disease-0271,activate,gene-04207
disease-0271,activate,gene-04392
disease-0271,activate,gene-04423
disease-0271,activate,gene-04433
disease-0271,activate,gene-04551
disease-0271,activate,gene-04645
disease-0271,activate,gene-04659
disease-0271,activate,gene-04834
disease-0271,activate,gene-05345
disease-0271,activate,gene-05399
disease-0271,activate,gene-05412
disease-0271,activate,gene-05525
disease-0271,activate,gene-05531
disease-0271,activate,gene-05708
disease-0271,activate,gene-05779
disease-0271,activate,gene-05912
disease-0271,activate,gene-07320
disease-0271,activate,gene-08537
disease-0271,activate,gene-08804
disease-0271,activate,gene-09402
disease-0271,activate,gene-16199
disease-0271,activate,gene-16724
disease-0271,activate,protein-03350
disease-0271,activate,small_molecule-11694
disease-0271,activate,small_molecule-18178
disease-0271,activate,small_molecule-27940
disease-0271,activate,small_molecule-46129
disease-0271,affect,drug-00002
disease-0271,affect,drug-00105
disease-0271,affect,drug-00160
disease-0271,affect,drug-00503
disease-0271,affect,drug-00514
disease-0271,affect,drug-01253
disease-0271,affect,drug-01522
disease-0271,affect,drug-03903
disease-0271,affect,drug-08052
disease-0271,affect,drug-09321
disease-0271,affect,drug-13065
disease-0271,affect,gene-00175
disease-0271,affect,gene-00270
disease-0271,affect,gene-00324
disease-0271,affect,gene-00463
disease-0271,affect,gene-00554
disease-0271,affect,gene-00868
disease-0271,affect,gene-00990
disease-0271,affect,gene-01347
disease-0271,affect,gene-02400
disease-0271,affect,gene-02658
disease-0271,affect,gene-02889
disease-0271,affect,gene-02966
disease-0271,affect,gene-03009
disease-0271,affect,gene-03118
disease-0271,affect,gene-03411
disease-0271,affect,gene-03427
disease-0271,affect,gene-03522
disease-0271,affect,gene-03526
disease-0271,affect,gene-03627
disease-0271,affect,gene-03770
disease-0271,affect,gene-04175
disease-0271,affect,gene-04551
disease-0271,affect,gene-05064
disease-0271,affect,gene-05150
disease-0271,affect,gene-05301
disease-0271,affect,gene-05509
disease-0271,affect,gene-05531
disease-0271,affect,gene-05627
disease-0271,affect,gene-05736
disease-0271,affect,gene-05850
disease-0271,affect,gene-05957
disease-0271,affect,gene-06038
disease-0271,affect,gene-07046
disease-0271,affect,gene-07225
disease-0271,affect,gene-08201
disease-0271,affect,gene-08581
disease-0271,affect,gene-09715
disease-0271,affect,gene-10104
disease-0271,affect,gene-13485
disease-0271,affect,gene-14010
disease-0271,affect,gene-18357
disease-0271,affect,gene-24088
disease-0271,affect,gene-24187
disease-0271,affect,gene-24811
disease-0271,affect,gene-27148
disease-0271,affect,gene-30389
disease-0271,affect,gene-33954
disease-0271,affect,hpo-13043
disease-0271,affect,hpo-13648
disease-0271,affect,protein-03078
disease-0271,affect,protein-03307
disease-0271,affect,protein-05336
disease-0271,affect,small_molecule-00213
disease-0271,affect,small_molecule-00774
disease-0271,affect,small_molecule-01258
disease-0271,affect,small_molecule-01267
disease-0271,affect,small_molecule-02461
disease-0271,affect,small_molecule-03891
disease-0271,affect,small_molecule-06748
disease-0271,affect,small_molecule-06771
disease-0271,affect,small_molecule-06778
disease-0271,affect,small_molecule-08174
disease-0271,affect,small_molecule-10103
disease-0271,affect,small_molecule-10303
disease-0271,affect,small_molecule-12347
disease-0271,affect,small_molecule-12439
disease-0271,affect,small_molecule-13374
disease-0271,affect,small_molecule-16674
disease-0271,affect,small_molecule-19107
disease-0271,affect,small_molecule-21235
disease-0271,affect,small_molecule-25598
disease-0271,affect,small_molecule-32010
disease-0271,affect,small_molecule-35255
disease-0271,affect,small_molecule-51214
disease-0271,analyz,drug-12873
disease-0271,analyz,gene-00005
disease-0271,analyz,gene-00476
disease-0271,analyz,gene-01312
disease-0271,analyz,gene-01639
disease-0271,analyz,gene-01762
disease-0271,analyz,gene-03325
disease-0271,analyz,gene-03446
disease-0271,analyz,gene-03463
disease-0271,analyz,gene-03522
disease-0271,analyz,gene-04551
disease-0271,analyz,gene-05263
disease-0271,analyz,gene-05662
disease-0271,analyz,gene-05736
disease-0271,analyz,gene-06033
disease-0271,analyz,gene-07077
disease-0271,analyz,gene-08642
disease-0271,analyz,gene-09158
disease-0271,analyz,gene-09705
disease-0271,analyz,gene-11721
