H,R,T
disease-0121,associate,phenotype-13313
disease-0121,increase,phenotype-06797
disease-0121,increase,phenotype-09457
disease-0121,inhibit,gene-24131
disease-0121,reduce,phenotype-13303
disease-0121,reduce,phenotype-13606
disease-0181,interact,gene-02390
disease-0209,found,gene-00166
disease-0209,found,gene-02889
disease-0210,affect,disease-4933
disease-0573,show,gene-08649
disease-1015,cause,gene-01762
disease-1015,treat,gene-05143
disease-1083,interact,gene-01630
disease-1083,patholog,disease-4933
disease-1083,reduce,small_molecule-02455
disease-1405,feature,phenotype-12624
disease-1405,show,phenotype-10169
disease-1432,associate,phenotype-08735
disease-1432,contain,gene-00199
disease-1432,contain,protein-10144
disease-1432,demonstr,gene-16046
disease-1432,enhance,gene-00512
disease-1432,enhance,small_molecule-02181
disease-1432,increase,gene-00512
disease-1472,associate,phenotype-13610
disease-1472,inhibit,small_molecule-36531
disease-1488,show,gene-00757
disease-1689,feature,phenotype-00622
disease-1689,feature,phenotype-00983
disease-1689,feature,phenotype-01324
disease-1746,associate,disease-4933
disease-1746,associate,gene-04993
disease-1746,potenti,disease-4933
disease-1824,cause,phenotype-02571
disease-1919,show,phenotype-13596
disease-1947,affect,disease-4933
disease-2005,affect,disease-4933
disease-2005,affect,drug-00175
disease-2005,affect,gene-02436
disease-2005,affect,phenotype-13581
disease-2005,associate,disease-4933
disease-2005,associate,gene-00941
disease-2005,associate,gene-00943
disease-2005,associate,gene-03472
disease-2005,associate,phenotype-13596
disease-2005,associate,small_molecule-44523
disease-2005,confer,disease-4933
disease-2005,contain,gene-01138
disease-2005,contain,gene-04978
disease-2005,contain,mirna-0136
disease-2005,contain,mirna-0551
disease-2005,contain,mirna-0754
disease-2005,contain,protein-02188
disease-2005,develop,disease-4933
disease-2005,develop,phenotype-13596
disease-2005,exist,disease-4933
disease-2005,exist,phenotype-13596
disease-2005,expression,gene-01844
disease-2005,expression,gene-04551
disease-2005,gene,gene-00183
disease-2005,gene,gene-03284
disease-2005,gene,gene-03526
disease-2005,gene,gene-06885
disease-2005,identifi,disease-4933
disease-2005,identifi,phenotype-13040
disease-2005,increase,phenotype-13600
disease-2005,increase,small_molecule-16742
disease-2005,marker,gene-05736
disease-2005,observe,disease-4933
disease-2005,patholog,disease-4933
disease-2005,risk,disease-4933
disease-2005,risk,drug-00175
disease-2005,serve,disease-4933
disease-2160,associate,gene-00892
disease-2160,associate,phenotype-13600
disease-2160,cause,gene-00892
disease-2160,cause,gene-14570
disease-2160,cause,phenotype-01381
disease-2160,cause,phenotype-04443
disease-2160,cause,phenotype-13631
disease-2160,contain,gene-03608
disease-2160,control,gene-12106
disease-2160,develop,phenotype-07324
disease-2160,develop,phenotype-13596
disease-2160,encode,drug-12475
disease-2160,encode,gene-00892
disease-2160,enhance,disease-4933
disease-2160,enhance,gene-00892
disease-2160,exist,gene-00892
disease-2160,feature,drug-12444
disease-2160,feature,phenotype-06579
disease-2160,feature,phenotype-12932
disease-2160,improve,gene-00892
disease-2160,increase,drug-00401
disease-2160,increase,small_molecule-04812
disease-2160,increase,small_molecule-14006
disease-2160,mutate,gene-00892
disease-2160,observe,gene-02875
disease-2160,observe,gene-07930
disease-2160,regulate,gene-00324
disease-2160,regulate,gene-03201
disease-2160,regulate,gene-12106
disease-2160,show,small_molecule-03401
disease-2160,treat,disease-4933
disease-2160,treat,small_molecule-11239
disease-2201,prevent,gene-01469
disease-2368,have,phenotype-13631
disease-2368,produce,disease-4933
disease-2368,produce,phenotype-13631
disease-2583,feature,phenotype-13602
disease-2587,produce,phenotype-10008
disease-2695,identifi,gene-02293
disease-3038,control,phenotype-04198
disease-3221,reduce,disease-4933
disease-3221,treat,disease-4933
disease-3648,cause,drug-13765
disease-4069,associate,drug-03651
disease-4258,associate,disease-4933
disease-4654,feature,phenotype-10178
disease-4933,abolish,small_molecule-06162
disease-4933,abolish,small_molecule-11239
disease-4933,activate,drug-10554
disease-4933,activate,gene-00175
disease-4933,activate,gene-03472
disease-4933,activate,gene-04174
disease-4933,activate,gene-08552
disease-4933,activate,gene-13129
disease-4933,activate,small_molecule-12439
disease-4933,affect,disease-2005
disease-4933,affect,drug-00175
disease-4933,affect,gene-00486
disease-4933,affect,gene-02436
disease-4933,affect,gene-04150
disease-4933,affect,gene-05957
disease-4933,affect,gene-11125
disease-4933,affect,phenotype-10098
disease-4933,affect,phenotype-13581
disease-4933,affect,small_molecule-06162
disease-4933,associate,disease-2920
disease-4933,associate,disease-6572
disease-4933,associate,drug-00175
disease-4933,associate,drug-00425
disease-4933,associate,drug-01354
disease-4933,associate,drug-10882
disease-4933,associate,drug-12462
disease-4933,associate,gene-00130
disease-4933,associate,gene-00131
disease-4933,associate,gene-00153
disease-4933,associate,gene-00765
disease-4933,associate,gene-00941
disease-4933,associate,gene-01278
disease-4933,associate,gene-02500
disease-4933,associate,gene-02898
disease-4933,associate,gene-02917
disease-4933,associate,gene-02958
disease-4933,associate,gene-03011
disease-4933,associate,gene-03240
disease-4933,associate,gene-03364
disease-4933,associate,gene-03770
disease-4933,associate,gene-03980
disease-4933,associate,gene-04155
disease-4933,associate,gene-05101
disease-4933,associate,gene-05397
disease-4933,associate,gene-05627
disease-4933,associate,gene-05683
disease-4933,associate,gene-05708
disease-4933,associate,gene-06038
disease-4933,associate,gene-07270
disease-4933,associate,gene-07671
disease-4933,associate,gene-07930
disease-4933,associate,gene-09402
disease-4933,associate,gene-13634
disease-4933,associate,gene-13735
disease-4933,associate,gene-13849
disease-4933,associate,gene-15660
disease-4933,associate,gene-20965
disease-4933,associate,gene-31860
disease-4933,associate,gene-34332
disease-4933,associate,gene-35152
disease-4933,associate,gene-44210
disease-4933,associate,phenotype-03549
disease-4933,associate,phenotype-08335
disease-4933,associate,phenotype-09698
disease-4933,associate,phenotype-09985
disease-4933,associate,phenotype-10007
disease-4933,associate,phenotype-10098
disease-4933,associate,phenotype-10167
disease-4933,associate,phenotype-10176
disease-4933,associate,phenotype-13006
disease-4933,associate,phenotype-13465
disease-4933,associate,phenotype-13631
