H,R,T
disease-0006,associate,phenotype-02723
disease-0006,associate,phenotype-05246
disease-0006,cause,disease-0009
disease-0006,cause,disease-0428
disease-0006,demonstr,gene-01817
disease-0006,increase,drug-00612
disease-0006,increase,phenotype-13073
disease-0006,increase,small_molecule-28849
disease-0006,show,phenotype-02723
disease-0049,signal,gene-00559
disease-0050,cause,disease-8865
disease-0050,cause,phenotype-12941
disease-0059,associate,gene-02768
disease-0059,associate,gene-02938
disease-0059,associate,phenotype-02723
disease-0059,associate,phenotype-05246
disease-0059,associate,phenotype-12952
disease-0059,associate,phenotype-13528
disease-0059,change,phenotype-13562
disease-0059,develop,disease-0484
disease-0059,exist,phenotype-08732
disease-0059,exist,phenotype-09091
disease-0059,expression,small_molecule-28869
disease-0059,inhibit,gene-00295
disease-0059,observe,gene-02682
disease-0059,observe,phenotype-12952
disease-0059,observe,small_molecule-04812
disease-0059,observe,small_molecule-53776
disease-0059,reduce,drug-08462
disease-0059,risk,disease-0484
disease-0059,risk,disease-5111
disease-0059,risk,gene-00293
disease-0059,risk,phenotype-05246
disease-0059,show,protein-08067
disease-0085,associate,phenotype-04970
disease-0085,associate,phenotype-05246
disease-0085,associate,phenotype-06147
disease-0085,associate,phenotype-13074
disease-0085,associate,phenotype-13647
disease-0085,cause,gene-06204
disease-0085,feature,phenotype-04988
disease-0085,feature,phenotype-05562
disease-0085,feature,phenotype-05569
disease-0085,feature,phenotype-12834
disease-0085,show,phenotype-09024
disease-0091,affect,phenotype-05246
disease-0091,associate,phenotype-05246
disease-0091,associate,phenotype-13074
disease-0121,associate,gene-00699
disease-0121,associate,phenotype-13075
disease-0121,associate,protein-17709
disease-0121,consist,small_molecule-12791
disease-0121,demonstr,phenotype-06791
disease-0121,demonstr,phenotype-13286
disease-0121,demonstr,small_molecule-15375
disease-0121,improve,gene-26982
disease-0121,reduce,protein-02792
disease-0159,affect,phenotype-12994
disease-0159,associate,disease-0984
disease-0159,associate,disease-1503
disease-0159,associate,disease-8865
disease-0159,associate,gene-00272
disease-0159,associate,gene-01479
disease-0159,associate,gene-02530
disease-0159,associate,gene-02938
disease-0159,associate,phenotype-05245
disease-0159,associate,phenotype-07322
disease-0159,associate,phenotype-07345
disease-0159,associate,phenotype-12994
disease-0159,associate,small_molecule-11591
disease-0159,associate,small_molecule-35073
disease-0159,cause,gene-02077
disease-0159,cause,gene-02078
disease-0159,cause,gene-02219
disease-0159,cause,gene-02938
disease-0159,cause,phenotype-07243
disease-0159,cause,phenotype-13319
disease-0159,control,phenotype-05245
disease-0159,detect,disease-1472
disease-0159,detect,gene-04454
disease-0159,detect,phenotype-12402
disease-0159,detect,small_molecule-35232
disease-0159,develop,phenotype-04650
disease-0159,develop,phenotype-08506
disease-0159,develop,phenotype-12994
disease-0159,disrupt,small_molecule-01258
disease-0159,encode,drug-00120
disease-0159,exist,gene-11423
disease-0159,feature,small_molecule-01258
disease-0159,gene,disease-2201
disease-0159,identifi,disease-1472
disease-0159,identifi,gene-02084
disease-0159,identifi,gene-02549
disease-0159,identifi,gene-03339
