H,R,T
disease-0121,associate,phenotype-03549
disease-0121,associate,phenotype-13216
disease-0159,associate,phenotype-04720
disease-0210,expression,gene-05999
disease-0210,found,gene-00868
disease-0234,show,small_molecule-03891
disease-0271,affect,drug-00932
disease-0271,associate,phenotype-05191
disease-0271,associate,phenotype-13223
disease-0271,cause,drug-12015
disease-0271,cause,gene-02000
disease-0271,cause,gene-03820
disease-0271,cause,gene-04174
disease-0271,increase,gene-00270
disease-0271,increase,phenotype-04711
disease-0271,inhibit,gene-03770
disease-0271,observe,phenotype-13648
disease-0271,reduce,small_molecule-12442
disease-0271,risk,small_molecule-53153
disease-0271,show,drug-00618
disease-0271,treat,drug-00749
disease-0272,associate,small_molecule-53509
disease-0272,bind,gene-00150
disease-0272,bind,small_molecule-54549
disease-0272,cause,phenotype-04708
disease-0272,cause,phenotype-12470
disease-0272,consist,phenotype-13340
disease-0272,exist,small_molecule-04898
disease-0272,expression,gene-01106
disease-0272,expression,gene-03127
disease-0272,expression,gene-09574
disease-0272,expression,gene-29485
disease-0272,observe,phenotype-06984
disease-0272,potenti,phenotype-13647
disease-0272,regulate,small_molecule-06845
disease-0272,risk,disease-6731
disease-0272,risk,phenotype-04345
disease-0272,risk,phenotype-13581
disease-0272,show,drug-09358
disease-0272,treat,drug-00030
disease-0272,treat,drug-00388
disease-0272,treat,drug-01085
disease-0272,treat,gene-08307
disease-0384,cause,phenotype-07370
disease-0384,contain,disease-4258
disease-0484,risk,disease-0271
disease-0484,risk,phenotype-04708
disease-0484,risk,phenotype-13353
disease-0577,feature,phenotype-06474
disease-0577,feature,phenotype-08911
disease-0577,feature,phenotype-13648
disease-0740,prevent,phenotype-13323
disease-0740,risk,phenotype-13323
disease-1032,show,phenotype-04514
disease-1032,show,phenotype-13323
disease-1155,develop,phenotype-05253
disease-1155,risk,drug-08230
disease-1155,risk,phenotype-09158
disease-1155,risk,phenotype-13035
disease-1366,feature,small_molecule-06725
disease-1382,increase,disease-0272
disease-1382,initi,gene-05932
disease-1382,initi,phenotype-13319
disease-1382,risk,disease-0272
disease-1402,expression,gene-02375
disease-1402,expression,gene-24152
disease-1402,increase,disease-0704
disease-1402,risk,disease-0704
disease-1577,increase,phenotype-13352
disease-1577,increase,phenotype-13610
disease-1577,risk,phenotype-05245
disease-1632,response,small_molecule-12327
disease-1765,associate,phenotype-13323
disease-1947,reduce,small_molecule-29722
disease-2005,show,phenotype-13323
disease-2160,associate,disease-0271
disease-2208,associate,phenotype-13648
disease-2691,contain,phenotype-13325
disease-2691,show,phenotype-13325
disease-2794,increase,small_molecule-11265
disease-2920,cause,phenotype-13631
disease-2931,abolish,phenotype-12640
disease-2931,associate,gene-01826
disease-2931,associate,gene-11939
disease-2931,cause,phenotype-04514
disease-2931,cause,phenotype-13202
disease-2931,change,phenotype-03408
disease-2931,change,phenotype-07166
disease-2931,enhance,gene-31719
disease-2931,occur,gene-12489
disease-2931,produce,small_molecule-07963
disease-2931,risk,disease-0271
disease-2931,show,phenotype-13202
disease-3310,depend,phenotype-13322
