H,R,T
disease-0091,initi,hpo-00847
disease-0159,associate,disease-0698
disease-0159,associate,hpo-04720
disease-0159,conside,disease-0698
disease-0210,consist,hpo-05253
disease-0210,expression,drug-10400
disease-0210,expression,gene-00360
disease-0234,show,small_molecule-03891
disease-0270,associate,hpo-06452
disease-0270,increase,hpo-06970
disease-0270,increase,small_molecule-18664
disease-0270,risk,hpo-06461
disease-0270,risk,hpo-06970
disease-0270,show,hpo-13323
disease-0271,affect,small_molecule-02461
disease-0271,affect,small_molecule-18664
disease-0271,associate,hpo-05188
disease-0271,associate,hpo-13322
disease-0271,associate,small_molecule-12165
disease-0271,cause,drug-12015
disease-0271,cause,gene-02000
disease-0271,cause,gene-03820
disease-0271,cause,gene-04174
disease-0271,cause,gene-11332
disease-0271,develop,hpo-13323
disease-0271,increase,gene-04451
disease-0271,increase,hpo-04711
disease-0271,inhibit,gene-03770
disease-0271,observe,hpo-13648
disease-0271,reduce,small_molecule-12442
disease-0271,risk,disease-3494
disease-0271,risk,hpo-04703
disease-0271,risk,hpo-04708
disease-0271,treat,drug-00749
disease-0272,associate,gene-05854
disease-0272,bind,gene-00150
disease-0272,bind,small_molecule-54549
disease-0272,cause,hpo-12470
disease-0272,consist,hpo-13340
disease-0272,differenti,hpo-04708
disease-0272,exist,small_molecule-56843
disease-0272,expression,gene-03127
disease-0272,expression,gene-08347
disease-0272,expression,gene-09574
disease-0272,expression,gene-09724
disease-0272,expression,gene-29421
disease-0272,expression,protein-01329
disease-0272,observe,hpo-06984
disease-0272,potenti,hpo-13647
disease-0272,reduce,hpo-05253
disease-0272,regulate,gene-04834
disease-0272,risk,hpo-04708
disease-0272,risk,hpo-13581
disease-0272,show,drug-09358
disease-0272,show,gene-05081
disease-0272,treat,drug-08521
disease-0272,treat,hpo-04345
disease-0272,treat,hpo-05253
disease-0272,treat,small_molecule-10103
disease-0384,treat,small_molecule-10103
disease-0484,risk,disease-0271
disease-0484,risk,hpo-00365
disease-0484,risk,hpo-04708
disease-0484,risk,hpo-05188
disease-0564,affect,hpo-04730
disease-0564,affect,hpo-05253
disease-0564,inhibit,hpo-04708
disease-0577,feature,hpo-05253
disease-0577,feature,hpo-06474
disease-0577,feature,hpo-08911
disease-0658,demonstr,hpo-04720
disease-0704,associate,hpo-06503
disease-0704,enhance,hpo-13323
disease-0740,prevent,hpo-13323
disease-0740,risk,hpo-13323
disease-0751,affect,disease-0271
disease-0751,affect,hpo-06463
disease-0751,affect,hpo-12684
disease-0751,affect,hpo-13562
disease-0751,conside,hpo-12249
disease-0751,focus,disease-1654
disease-0751,have,hpo-12479
disease-0751,increase,disease-0270
