H,R,T
disease-0059,feature,phenotype-09419
disease-0119,show,gene-00708
disease-0168,feature,phenotype-08093
disease-0202,expression,phenotype-06984
disease-0209,associate,disease-0698
disease-0259,develop,phenotype-04726
disease-0270,act,gene-05298
disease-0270,associate,drug-00070
disease-0270,associate,gene-03522
disease-0270,associate,phenotype-12686
disease-0270,determin,gene-00553
disease-0270,determin,gene-00555
disease-0270,develop,gene-01659
disease-0270,exist,drug-00386
disease-0270,expression,gene-01659
disease-0270,expression,gene-03607
disease-0270,expression,gene-05599
disease-0270,expression,phenotype-04730
disease-0270,gene,small_molecule-08347
disease-0270,gene,small_molecule-35284
disease-0270,have,gene-00553
disease-0270,have,gene-00555
disease-0270,increase,drug-00386
disease-0270,increase,gene-03522
disease-0270,mutate,gene-00555
disease-0270,risk,disease-2005
disease-0270,risk,gene-00553
disease-0270,risk,phenotype-06463
disease-0270,studi,gene-05736
disease-0270,use,gene-01659
disease-0271,affect,small_molecule-35255
disease-0271,analyz,gene-01659
disease-0271,analyz,gene-18929
disease-0271,associate,gene-00573
disease-0271,associate,gene-00708
disease-0271,associate,gene-00865
disease-0271,associate,gene-15837
disease-0271,associate,gene-16196
disease-0271,associate,phenotype-13043
disease-0271,associate,small_molecule-13681
disease-0271,associate,small_molecule-16674
disease-0271,bind,gene-09137
disease-0271,cause,gene-03451
disease-0271,cause,gene-08314
disease-0271,cause,small_molecule-12843
disease-0271,change,gene-01659
disease-0271,conside,gene-01659
disease-0271,detect,drug-00105
disease-0271,detect,gene-05736
disease-0271,develop,phenotype-04557
disease-0271,develop,phenotype-13648
disease-0271,develop,small_molecule-09875
disease-0271,develop,small_molecule-35496
disease-0271,expression,gene-00840
disease-0271,expression,gene-03451
disease-0271,expression,gene-04580
disease-0271,gene,gene-02390
disease-0271,have,gene-08314
disease-0271,increase,gene-00555
disease-0271,increase,phenotype-04730
disease-0271,inhibit,gene-06881
disease-0271,inhibit,small_molecule-54495
disease-0271,mutate,gene-00573
disease-0271,occur,phenotype-00366
disease-0271,occur,phenotype-04726
disease-0271,predict,gene-24046
disease-0271,regulate,gene-18929
disease-0271,risk,disease-6645
disease-0271,risk,phenotype-04730
disease-0271,show,gene-00853
disease-0271,show,gene-01453
disease-0271,show,small_molecule-35655
disease-0271,treat,small_molecule-54706
disease-0272,activate,gene-02000
disease-0272,affect,gene-14275
disease-0272,associate,gene-00190
disease-0272,associate,gene-09093
disease-0272,bind,gene-08376
disease-0272,cause,gene-02000
disease-0272,cause,gene-03284
disease-0272,cause,gene-08123
disease-0272,cause,small_molecule-16674
disease-0272,expression,gene-06956
disease-0272,expression,gene-09093
disease-0272,expression,gene-24106
disease-0272,expression,gene-24198
disease-0272,expression,small_molecule-04776
disease-0272,inhibit,gene-01223
disease-0272,inhibit,gene-01892
disease-0272,inhibit,gene-05399
disease-0272,marker,disease-6645
disease-0272,particip,gene-00175
disease-0272,particip,gene-02000
disease-0272,particip,gene-12574
disease-0272,regulate,gene-08123
disease-0272,regulate,mirna-3048
disease-0272,risk,gene-25315
disease-0272,show,phenotype-04345
disease-0335,observe,phenotype-06472
disease-0335,show,gene-05736
disease-0357,act,disease-6645
disease-0357,inhibit,phenotype-00370
disease-0421,risk,disease-4959
disease-0484,risk,phenotype-04730
disease-0577,cause,drug-00039
disease-0577,cause,phenotype-06474
disease-0577,disrupt,phenotype-05111
disease-0577,disrupt,phenotype-13034
disease-0607,associate,gene-05633
disease-0617,affect,disease-6645
disease-0617,cause,phenotype-12905
disease-0617,gene,gene-03562
disease-0649,show,gene-00476
disease-0696,affect,small_molecule-03617
disease-0696,associate,gene-00824
disease-0696,associate,phenotype-04730
disease-0696,associate,phenotype-12688
disease-0696,cause,gene-00824
disease-0696,cause,gene-01218
disease-0696,cause,gene-11721
disease-0696,cause,phenotype-12684
disease-0696,change,gene-01218
disease-0696,change,gene-02948
disease-0696,change,gene-07035
disease-0696,change,gene-15995
disease-0696,change,gene-18103
disease-0696,encode,gene-00824
disease-0696,encode,phenotype-13648
disease-0696,expression,gene-00824
disease-0696,feature,gene-05736
disease-0696,identifi,gene-00824
disease-0696,identifi,gene-11721
disease-0696,mutate,drug-08277
disease-0696,mutate,gene-00824
disease-0696,provid,gene-11721
disease-0696,regulate,gene-00824
disease-0696,require,gene-00824
disease-0696,risk,disease-6645
disease-0696,risk,phenotype-04730
disease-0698,affect,phenotype-04523
disease-0698,associate,gene-05683
disease-0698,associate,gene-05736
disease-0698,associate,gene-43822
disease-0698,associate,phenotype-00367
disease-0698,associate,phenotype-00370
disease-0698,cause,phenotype-04523
disease-0698,conside,gene-02829
disease-0698,develop,phenotype-00367
disease-0698,expression,phenotype-13223
disease-0698,increase,disease-0209
disease-0698,increase,phenotype-04649
disease-0698,initi,phenotype-04649
disease-0698,observe,phenotype-00367
disease-0698,occur,gene-06945
disease-0698,produce,phenotype-00370
disease-0698,regulate,gene-00020
disease-0698,stimul,phenotype-07292
disease-0704,affect,phenotype-07168
disease-0704,affect,phenotype-13323
disease-0704,affect,phenotype-13324
disease-0821,show,gene-05088
disease-0867,associate,disease-6645
disease-0867,cause,gene-01862
disease-0931,cause,small_molecule-09875
disease-0969,associate,gene-05418
disease-0969,feature,disease-0270
disease-0969,feature,phenotype-00350
disease-0969,feature,phenotype-12800
disease-0969,feature,phenotype-13546
disease-0969,feature,phenotype-13648
disease-0969,identifi,gene-05736
disease-0969,identifi,phenotype-04703
disease-1083,regulate,phenotype-04730
disease-1092,associate,gene-03522
disease-1092,feature,phenotype-13512
disease-1092,identifi,gene-02400
disease-1092,identifi,gene-03451
disease-1092,identifi,gene-03522
disease-1155,associate,phenotype-04730
disease-1250,expression,gene-00274
disease-1266,associate,phenotype-06503
disease-1309,risk,gene-02127
disease-1348,cause,gene-09753
disease-1348,determin,phenotype-04726
disease-1348,expression,gene-09753
disease-1348,expression,small_molecule-11583
disease-1348,regulate,disease-6645
disease-1348,require,disease-6645
disease-1362,detect,gene-00538
disease-1362,detect,gene-03297
disease-1362,differenti,phenotype-04651
disease-1362,identifi,gene-00538
disease-1362,identifi,gene-03297
disease-1363,associate,gene-03297
disease-1366,associate,disease-1362
disease-1366,associate,disease-6645
disease-1366,associate,gene-05418
disease-1366,associate,phenotype-07714
disease-1366,develop,phenotype-04626
disease-1366,encode,gene-05418
disease-1366,encode,gene-08461
disease-1366,mutate,disease-6645
disease-1366,mutate,small_molecule-35496
disease-1366,risk,disease-6645
disease-1366,risk,small_molecule-35496
disease-1370,associate,gene-00270
disease-1370,associate,phenotype-13043
disease-1402,affect,gene-14275
disease-1402,analyz,gene-35045
disease-1402,regulate,disease-0869
