H,R,T
disease-0071,feature,gene-05839
disease-0082,associate,gene-04850
disease-0082,associate,gene-04926
disease-0120,associate,phenotype-03632
disease-0120,associate,phenotype-03925
disease-0121,affect,small_molecule-11291
disease-0121,associate,phenotype-13303
disease-0121,contain,small_molecule-11291
disease-0121,treat,small_molecule-11291
disease-0151,cause,phenotype-03925
disease-0151,mutate,gene-00059
disease-0159,associate,disease-5399
disease-0159,feature,small_molecule-01258
disease-0192,increase,gene-00587
disease-0192,increase,gene-00589
disease-0192,increase,gene-00595
disease-0192,increase,gene-00597
disease-0213,affect,drug-00160
disease-0213,affect,small_molecule-09029
disease-0213,reduce,drug-00160
disease-0213,reduce,small_molecule-09029
disease-0270,associate,drug-00435
disease-0270,treat,drug-00070
disease-0271,expression,drug-00749
disease-0272,cause,gene-05622
disease-0272,show,phenotype-04720
disease-0279,prevent,gene-02922
disease-0279,risk,phenotype-03925
disease-0279,show,drug-05721
disease-0280,associate,phenotype-03925
disease-0285,associate,phenotype-04198
disease-0285,associate,phenotype-12834
disease-0285,associate,small_molecule-15434
disease-0285,cause,phenotype-03925
disease-0285,encode,protein-05434
disease-0285,feature,phenotype-03925
disease-0285,feature,phenotype-08875
disease-0285,observe,gene-05683
disease-0286,develop,phenotype-03925
disease-0286,mutate,gene-05836
disease-0286,risk,phenotype-03858
disease-0308,affect,phenotype-03925
disease-0308,associate,small_molecule-08566
disease-0308,develop,gene-03401
disease-0308,expression,phenotype-03925
disease-0308,improve,phenotype-03925
disease-0308,show,phenotype-03925
disease-0308,treat,phenotype-03722
disease-0317,evalu,phenotype-03461
disease-0317,feature,phenotype-01404
disease-0317,feature,phenotype-09814
disease-0317,feature,phenotype-12621
disease-0317,show,phenotype-11844
disease-0317,show,phenotype-12601
disease-0317,show,phenotype-12635
disease-0361,associate,small_molecule-35201
disease-0373,associate,phenotype-05837
disease-0402,maintain,phenotype-10098
disease-0411,activate,gene-04392
disease-0411,activate,gene-08552
disease-0411,affect,phenotype-03528
disease-0411,affect,phenotype-03925
disease-0411,associate,gene-01215
disease-0411,associate,phenotype-03528
disease-0411,cause,phenotype-03646
disease-0411,cause,phenotype-03925
disease-0411,cause,phenotype-04198
disease-0411,cause,phenotype-08875
disease-0411,cause,phenotype-12407
disease-0411,change,phenotype-13129
disease-0411,develop,phenotype-03528
disease-0411,improve,phenotype-03925
disease-0411,increase,phenotype-03646
disease-0411,increase,phenotype-13528
disease-0411,inhibit,gene-04536
disease-0411,marker,phenotype-03528
disease-0411,observe,phenotype-13528
disease-0411,patholog,phenotype-03528
disease-0411,reduce,gene-04601
disease-0411,reduce,phenotype-03549
disease-0411,reduce,phenotype-12407
disease-0411,regulate,drug-00266
disease-0411,show,gene-04230
disease-0411,show,phenotype-03528
disease-0411,show,phenotype-03925
disease-0411,show,phenotype-04198
disease-0484,associate,phenotype-03925
disease-0484,associate,phenotype-05246
disease-0484,associate,phenotype-07332
disease-0484,develop,phenotype-12824
disease-0484,feature,small_molecule-04103
disease-0484,feature,small_molecule-19312
disease-0484,focus,gene-07270
disease-0484,reduce,gene-04416
disease-0484,show,phenotype-13075
disease-0571,associate,gene-05250
disease-0571,determin,gene-05932
disease-0571,show,phenotype-03461
disease-0571,show,phenotype-09798
disease-0571,show,phenotype-13400
disease-0582,affect,phenotype-13303
disease-0582,associate,phenotype-13303
disease-0582,develop,phenotype-06796
disease-0582,develop,phenotype-13303
disease-0582,marker,phenotype-13303
disease-0773,associate,phenotype-03925
disease-0773,associate,phenotype-09942
disease-0789,increase,gene-05511
disease-0796,cause,phenotype-03925
disease-0796,risk,phenotype-03858
disease-0839,associate,phenotype-13006
disease-0839,develop,phenotype-12949
disease-0839,show,gene-00113
disease-0855,associate,phenotype-13003
disease-0855,associate,phenotype-13425
disease-0855,occur,phenotype-04990
disease-0869,cause,gene-05399
disease-0874,cause,small_molecule-09324
disease-0874,cause,small_molecule-35529
disease-0874,change,phenotype-13006
disease-0874,disrupt,phenotype-10098
disease-0874,prevent,phenotype-04207
disease-0879,cause,gene-05399
disease-0891,cause,gene-05951
disease-0902,associate,phenotype-12932
disease-0902,feature,phenotype-01007
disease-0902,feature,phenotype-04988
disease-0902,feature,phenotype-07452
disease-0902,feature,phenotype-12601
disease-0902,show,phenotype-09796
disease-0902,show,phenotype-12620
disease-0902,show,phenotype-13217
disease-0902,show,phenotype-13371
disease-0902,show,phenotype-13400
disease-0908,encode,gene-06956
disease-0911,determin,gene-11168
disease-0995,cause,gene-04919
disease-0997,show,phenotype-03461
disease-0997,show,phenotype-09798
disease-0997,show,phenotype-12761
disease-0997,show,phenotype-13400
disease-1015,cause,phenotype-03747
disease-1015,cause,phenotype-03925
