H,R,T
disease-0159,feature,gene-02938
disease-0192,increase,gene-00587
disease-0192,increase,gene-00589
disease-0192,increase,gene-00595
disease-0192,increase,gene-00597
disease-0209,gene,hpo-06796
disease-0213,affect,small_molecule-08347
disease-0213,affect,small_molecule-09029
disease-0213,affect,small_molecule-11291
disease-0213,reduce,small_molecule-08347
disease-0213,reduce,small_molecule-09029
disease-0270,affect,drug-00070
disease-0270,associate,drug-00435
disease-0270,cause,drug-00663
disease-0270,develop,drug-00663
disease-0270,develop,small_molecule-29023
disease-0270,expression,gene-01659
disease-0270,identifi,small_molecule-17478
disease-0270,increase,drug-00663
disease-0270,treat,drug-00070
disease-0270,treat,small_molecule-17478
disease-0271,expression,drug-00749
disease-0272,cause,gene-05622
disease-0272,show,hpo-04720
disease-0279,cause,hpo-03925
disease-0279,prevent,gene-02922
disease-0279,risk,hpo-03925
disease-0279,show,drug-05721
disease-0280,associate,hpo-03925
disease-0281,feature,hpo-04295
disease-0281,feature,hpo-09796
disease-0281,feature,hpo-09814
disease-0285,associate,gene-03229
disease-0285,associate,hpo-03632
disease-0285,associate,hpo-03925
disease-0285,associate,hpo-04198
disease-0285,associate,small_molecule-15434
disease-0285,cause,hpo-03925
disease-0285,encode,protein-03358
disease-0285,feature,hpo-03925
disease-0285,feature,hpo-08875
disease-0285,observe,gene-05683
disease-0286,cause,hpo-03634
disease-0286,cause,hpo-03642
disease-0286,develop,hpo-03925
disease-0286,encode,protein-14286
disease-0286,mutate,gene-05836
disease-0286,risk,hpo-03858
disease-0291,treat,hpo-03925
disease-0308,affect,hpo-03925
disease-0308,associate,hpo-03925
disease-0308,associate,small_molecule-11291
disease-0308,cause,hpo-03925
disease-0308,develop,gene-03401
disease-0308,expression,hpo-03925
disease-0308,expression,small_molecule-11291
disease-0308,improve,hpo-03925
disease-0308,show,hpo-03925
disease-0308,show,small_molecule-08566
disease-0308,treat,hpo-03722
disease-0312,associate,small_molecule-35201
disease-0317,evalu,hpo-03461
disease-0317,feature,hpo-01404
disease-0317,feature,hpo-09814
disease-0317,feature,hpo-12463
disease-0317,feature,hpo-12621
disease-0317,show,hpo-11844
disease-0317,show,hpo-12620
disease-0317,show,hpo-12635
disease-0373,associate,hpo-05837
disease-0402,maintain,hpo-10098
disease-0411,affect,hpo-03925
disease-0411,associate,hpo-03925
disease-0411,cause,hpo-03528
disease-0411,cause,hpo-06573
disease-0411,cause,hpo-08875
disease-0411,change,hpo-13129
disease-0411,develop,hpo-03528
disease-0411,develop,hpo-04198
disease-0411,improve,hpo-03925
disease-0411,produce,hpo-03528
disease-0411,reduce,hpo-06573
disease-0411,show,hpo-03528
disease-0411,show,hpo-03925
disease-0458,feature,hpo-07157
disease-0484,affect,hpo-04112
disease-0484,affect,hpo-13303
disease-0484,associate,hpo-03925
disease-0484,cause,hpo-03925
disease-0484,cause,hpo-13006
disease-0484,determin,hpo-12642
disease-0484,determin,hpo-13073
disease-0484,determin,hpo-13265
disease-0484,develop,hpo-12824
disease-0484,focus,gene-07270
disease-0484,reduce,gene-04416
disease-0484,reduce,gene-05761
disease-0484,show,hpo-03769
