H,R,T
disease-0011,associate,gene-00314
disease-0011,associate,protein-04100
disease-0011,cause,phenotype-04720
disease-0011,cause,phenotype-04723
disease-0011,develop,gene-03483
disease-0011,develop,phenotype-09156
disease-0011,develop,phenotype-13548
disease-0011,encode,gene-03757
disease-0011,encode,gene-15902
disease-0011,expression,disease-0272
disease-0011,feature,phenotype-09156
disease-0011,feature,phenotype-09159
disease-0011,feature,phenotype-13545
disease-0011,feature,phenotype-13548
disease-0011,identifi,gene-02487
disease-0011,occur,phenotype-12671
disease-0011,reduce,gene-03217
disease-0048,show,gene-03820
disease-0048,show,phenotype-03461
disease-0050,activate,gene-03770
disease-0050,activate,small_molecule-03401
disease-0050,associate,disease-0272
disease-0050,associate,gene-00182
disease-0050,associate,phenotype-04720
disease-0050,cause,phenotype-13286
disease-0050,develop,gene-25315
disease-0050,patholog,gene-25315
disease-0050,provid,disease-0272
disease-0050,risk,disease-0272
disease-0059,associate,phenotype-09091
disease-0059,associate,phenotype-12620
disease-0059,control,phenotype-09091
disease-0059,focus,drug-00137
disease-0059,focus,small_molecule-02953
disease-0059,focus,small_molecule-03357
disease-0059,focus,small_molecule-05839
disease-0059,focus,small_molecule-08253
disease-0059,focus,small_molecule-10667
disease-0059,found,phenotype-09091
disease-0059,regulate,gene-00085
disease-0071,feature,phenotype-03642
disease-0081,identifi,phenotype-00342
disease-0085,develop,phenotype-05200
disease-0085,feature,phenotype-04988
disease-0085,feature,phenotype-05246
disease-0085,feature,phenotype-05569
disease-0085,feature,phenotype-05571
disease-0085,feature,phenotype-12834
disease-0119,feature,phenotype-13298
disease-0159,act,small_molecule-06275
disease-0159,associate,phenotype-03214
disease-0159,associate,phenotype-09741
disease-0159,associate,phenotype-12544
disease-0159,cause,gene-02077
disease-0159,depend,gene-00752
disease-0168,affect,drug-00864
disease-0168,feature,phenotype-08093
disease-0176,control,gene-14800
disease-0177,associate,gene-01217
disease-0177,associate,gene-03699
disease-0177,associate,gene-04073
disease-0177,associate,small_molecule-00519
disease-0177,associate,small_molecule-13681
disease-0177,contain,gene-03770
disease-0177,contain,gene-08017
disease-0177,expression,gene-00789
disease-0177,expression,gene-04535
disease-0177,expression,gene-06837
disease-0177,feature,small_molecule-00519
disease-0177,increase,phenotype-13631
disease-0177,reduce,drug-01522
disease-0177,regulate,gene-24053
disease-0177,regulate,gene-24138
disease-0177,regulate,gene-24167
disease-0177,risk,gene-21202
disease-0177,studi,phenotype-13510
disease-0177,treat,drug-01522
disease-0181,affect,small_molecule-00366
disease-0181,associate,small_molecule-40632
disease-0181,risk,small_molecule-40632
disease-0202,expression,phenotype-06984
disease-0202,marker,phenotype-06984
disease-0207,identifi,gene-07855
disease-0209,increase,disease-0272
disease-0209,protect,gene-25315
disease-0213,affect,phenotype-04363
disease-0213,bind,drug-02639
disease-0213,bind,phenotype-13073
disease-0213,bind,small_molecule-08073
disease-0213,cause,phenotype-03770
disease-0213,cause,phenotype-13075
disease-0213,cause,phenotype-13647
disease-0213,contain,phenotype-04386
disease-0213,develop,gene-14890
disease-0213,develop,phenotype-04720
disease-0213,expression,small_molecule-12347
disease-0213,marker,gene-05029
disease-0213,reduce,phenotype-13265
disease-0213,risk,phenotype-04720
disease-0213,show,phenotype-04386
disease-0213,show,phenotype-13631
disease-0259,develop,phenotype-04726
disease-0259,feature,gene-03627
disease-0259,focus,small_molecule-06848
disease-0270,act,small_molecule-29023
disease-0270,activate,gene-01684
disease-0270,activate,gene-02913
disease-0270,affect,gene-02816
disease-0270,associate,disease-1032
disease-0270,associate,disease-4959
disease-0270,associate,drug-00503
disease-0270,associate,drug-00663
disease-0270,associate,drug-00984
disease-0270,associate,gene-00374
disease-0270,associate,gene-01757
disease-0270,associate,gene-04314
disease-0270,associate,gene-05191
disease-0270,associate,gene-06896
disease-0270,associate,phenotype-06472
disease-0270,associate,protein-03222
disease-0270,cause,disease-0969
disease-0270,cause,gene-01276
disease-0270,cause,gene-01757
disease-0270,cause,gene-04428
disease-0270,cause,gene-09014
disease-0270,cause,phenotype-04386
disease-0270,cause,small_molecule-22184
disease-0270,cause,small_molecule-35815
disease-0270,change,gene-01681
disease-0270,confer,drug-00663
disease-0270,detect,gene-01279
disease-0270,detect,phenotype-13581
disease-0270,detect,small_molecule-12347
disease-0270,enhance,gene-01681
disease-0270,evalu,gene-01659
disease-0270,expression,gene-02339
disease-0270,expression,gene-03468
disease-0270,expression,gene-04249
disease-0270,expression,gene-04978
disease-0270,expression,gene-06046
disease-0270,expression,gene-07756
disease-0270,expression,gene-08523
disease-0270,expression,protein-08420
disease-0270,focus,gene-01683
disease-0270,generate,small_molecule-06845
disease-0270,increase,gene-00553
disease-0270,increase,gene-00555
disease-0270,inhibit,small_molecule-11323
disease-0270,occur,gene-01681
disease-0270,prevent,drug-00663
disease-0270,prevent,small_molecule-19217
disease-0270,production,small_molecule-06845
disease-0270,protect,small_molecule-29023
disease-0270,reduce,disease-6645
disease-0270,reduce,gene-00726
disease-0270,reduce,small_molecule-01824
disease-0270,reduce,small_molecule-08481
disease-0270,reduce,small_molecule-18664
disease-0270,reduce,small_molecule-40224
disease-0270,regulate,disease-0272
disease-0270,regulate,gene-01681
disease-0270,regulate,gene-04175
disease-0270,regulate,gene-04232
disease-0270,regulate,gene-05327
disease-0270,regulate,gene-05399
disease-0270,regulate,gene-07504
disease-0270,regulate,gene-09693
disease-0270,regulate,protein-04100
disease-0270,response,drug-00321
disease-0270,response,drug-09939
disease-0270,response,small_molecule-44084
disease-0270,response,small_molecule-45946
disease-0270,risk,disease-0272
disease-0270,risk,gene-07150
disease-0270,serve,gene-01659
disease-0270,show,drug-00098
disease-0270,show,gene-01659
disease-0270,show,gene-01681
disease-0270,show,phenotype-04318
disease-0270,transloc,gene-01074
disease-0270,transloc,gene-03745
disease-0270,transloc,gene-05124
disease-0270,transloc,gene-09411
disease-0270,treat,drug-00070
disease-0270,treat,drug-04325
disease-0270,treat,gene-00589
disease-0270,treat,phenotype-12952
disease-0270,treat,small_molecule-12327
disease-0270,treat,small_molecule-12931
disease-0270,treat,small_molecule-21195
disease-0270,treat,small_molecule-24440
disease-0271,act,gene-13642
disease-0271,activate,gene-00005
disease-0271,activate,gene-00175
disease-0271,activate,gene-02000
disease-0271,activate,gene-04834
disease-0271,activate,gene-05345
disease-0271,activate,gene-05736
disease-0271,activate,gene-08537
disease-0271,affect,gene-02966
disease-0271,affect,protein-05336
disease-0271,affect,small_molecule-10103
disease-0271,analyz,gene-00005
disease-0271,analyz,gene-09705
disease-0271,analyz,small_molecule-23759
disease-0271,associate,disease-4258
disease-0271,associate,drug-00002
disease-0271,associate,gene-00868
disease-0271,associate,gene-01565
disease-0271,associate,gene-01691
disease-0271,associate,gene-01692
disease-0271,associate,gene-01696
disease-0271,associate,gene-03297
disease-0271,associate,gene-03411
disease-0271,associate,gene-04177
disease-0271,associate,gene-04471
disease-0271,associate,gene-05191
disease-0271,associate,gene-05532
disease-0271,associate,gene-06288
disease-0271,associate,gene-07830
disease-0271,associate,gene-09014
disease-0271,associate,gene-15284
