H,R,T
disease-0003,use,hpo-12403
disease-0096,cause,hpo-13243
disease-0100,associate,gene-02718
disease-0151,associate,disease-1952
disease-0151,associate,gene-02875
disease-0151,associate,gene-02918
disease-0151,associate,gene-18357
disease-0151,associate,small_molecule-35419
disease-0151,contain,gene-02918
disease-0151,feature,hpo-03214
disease-0151,feature,hpo-12403
disease-0151,risk,small_molecule-35419
disease-0159,affect,disease-1472
disease-0159,affect,disease-2583
disease-0159,affect,hpo-13243
disease-0159,analyz,hpo-07196
disease-0159,associate,disease-0492
disease-0159,associate,disease-2201
disease-0159,associate,gene-00166
disease-0159,associate,gene-02546
disease-0159,associate,gene-03078
disease-0159,associate,gene-05400
disease-0159,associate,gene-05708
disease-0159,associate,gene-06840
disease-0159,associate,gene-06842
disease-0159,associate,gene-07823
disease-0159,associate,gene-08604
disease-0159,associate,gene-09962
disease-0159,associate,gene-10406
disease-0159,associate,hpo-12402
disease-0159,associate,hpo-12994
disease-0159,associate,hpo-13476
disease-0159,associate,hpo-13493
disease-0159,associate,hpo-13543
disease-0159,cause,gene-00299
disease-0159,cause,gene-02917
disease-0159,cause,hpo-13631
disease-0159,confer,disease-2201
disease-0159,confer,gene-09962
disease-0159,confer,hpo-07345
disease-0159,confer,small_molecule-35499
disease-0159,conside,hpo-03239
disease-0159,conside,small_molecule-12327
disease-0159,consist,hpo-12402
disease-0159,consist,hpo-12994
disease-0159,contain,hpo-07323
disease-0159,contain,hpo-12401
disease-0159,demonstr,disease-0984
disease-0159,determin,gene-02880
disease-0159,determin,gene-09962
disease-0159,enhance,gene-05708
disease-0159,expression,gene-01457
disease-0159,feature,disease-1472
disease-0159,feature,gene-04477
disease-0159,feature,hpo-03214
disease-0159,feature,hpo-04382
disease-0159,found,gene-09459
disease-0159,have,hpo-13631
disease-0159,identifi,disease-1472
disease-0159,identifi,gene-02084
disease-0159,identifi,gene-02549
disease-0159,identifi,gene-03339
disease-0159,identifi,gene-14742
disease-0159,identifi,gene-17414
disease-0159,identifi,hpo-04517
disease-0159,identifi,hpo-04556
disease-0159,increase,hpo-12402
disease-0159,increase,hpo-13610
disease-0159,marker,disease-1472
disease-0159,marker,hpo-07332
disease-0159,observe,hpo-12994
disease-0159,occur,hpo-03239
disease-0159,particip,disease-0984
disease-0159,patholog,disease-1472
disease-0159,patholog,gene-27754
disease-0159,patholog,hpo-12401
disease-0159,production,gene-02917
disease-0159,provid,gene-05712
disease-0159,regulate,small_molecule-18664
disease-0159,response,disease-1472
disease-0159,risk,disease-1309
disease-0159,risk,hpo-12402
disease-0159,risk,hpo-12994
disease-0159,risk,hpo-13223
disease-0159,show,gene-02917
disease-0159,show,gene-03396
disease-0159,show,gene-21202
disease-0159,show,gene-27754
disease-0159,show,hpo-13476
disease-0159,studi,small_molecule-11321
disease-0159,treat,disease-1472
disease-0159,treat,disease-2201
disease-0159,use,gene-03844
disease-0159,use,gene-03845
disease-0177,affect,disease-1472
disease-0177,associate,gene-27754
disease-0177,have,disease-0159
disease-0177,patholog,disease-1472
disease-0192,focus,gene-01138
disease-0192,found,disease-1472
disease-0192,gene,disease-1472
disease-0192,studi,hpo-12401
disease-0209,activate,gene-01258
disease-0209,activate,gene-02787
disease-0209,activate,gene-03073
disease-0209,activate,protein-05566
disease-0209,associate,disease-0698
disease-0209,associate,disease-0984
disease-0209,associate,gene-00299
disease-0209,associate,gene-00522
disease-0209,associate,gene-00525
disease-0209,associate,gene-01099
disease-0209,associate,gene-02906
disease-0209,associate,gene-02963
disease-0209,associate,gene-03546
disease-0209,associate,gene-03892
disease-0209,associate,gene-06780
disease-0209,associate,gene-11361
disease-0209,associate,hpo-00366
disease-0209,associate,hpo-07292
disease-0209,associate,hpo-12962
disease-0209,associate,hpo-13631
disease-0209,associate,small_molecule-11294
disease-0209,associate,small_molecule-19902
disease-0209,associate,small_molecule-35089
disease-0209,cause,gene-02917
disease-0209,cause,hpo-12962
disease-0209,cause,hpo-13223
disease-0209,cause,hpo-13243
disease-0209,cause,small_molecule-11323
disease-0209,change,gene-00770
disease-0209,change,gene-05469
disease-0209,change,gene-05708
disease-0209,change,hpo-07292
disease-0209,conside,small_molecule-12327
disease-0209,consist,drug-00551
disease-0209,contain,gene-02816
disease-0209,contain,gene-04314
disease-0209,contain,gene-04954
disease-0209,contain,small_molecule-35197
disease-0209,control,gene-02537
disease-0209,demonstr,disease-1472
disease-0209,develop,disease-0698
disease-0209,develop,gene-11942
disease-0209,develop,hpo-00367
disease-0209,develop,hpo-07292
disease-0209,develop,hpo-13223
disease-0209,develop,hpo-13236
disease-0209,enhance,disease-0159
disease-0209,exist,drug-00028
disease-0209,exist,hpo-13471
disease-0209,exist,small_molecule-11587
disease-0209,expression,gene-00305
disease-0209,expression,gene-00525
disease-0209,expression,gene-00791
disease-0209,expression,gene-01119
disease-0209,expression,gene-02750
disease-0209,expression,gene-02787
disease-0209,expression,gene-02956
disease-0209,expression,gene-02984
disease-0209,expression,gene-03472
disease-0209,expression,gene-03604
disease-0209,expression,gene-03627
disease-0209,expression,gene-03864
disease-0209,expression,gene-04583
disease-0209,expression,gene-05073
disease-0209,expression,gene-05655
disease-0209,expression,gene-05949
disease-0209,expression,gene-07537
disease-0209,expression,gene-08385
disease-0209,expression,gene-14408
disease-0209,expression,small_molecule-11583
disease-0209,expression,small_molecule-11587
disease-0209,feature,disease-0984
disease-0209,feature,small_molecule-18663
disease-0209,focus,gene-13579
disease-0209,generate,hpo-00366
disease-0209,have,drug-01638
disease-0209,have,gene-11361
disease-0209,identifi,disease-3131
disease-0209,identifi,hpo-07292
disease-0209,increase,gene-05055
disease-0209,inhibit,gene-00789
disease-0209,inhibit,gene-00790
disease-0209,patholog,hpo-07292
disease-0209,potenti,small_molecule-34879
disease-0209,production,drug-13650
disease-0209,production,hpo-09657
disease-0209,reduce,gene-11942
disease-0209,reduce,hpo-12962
disease-0209,reduce,hpo-13243
disease-0209,regulate,gene-02787
disease-0209,regulate,gene-03885
disease-0209,regulate,gene-08385
disease-0209,regulate,gene-31690
disease-0209,regulate,small_molecule-08654
disease-0209,regulate,small_molecule-18663
disease-0209,response,drug-04973
disease-0209,response,small_molecule-57004
disease-0209,risk,hpo-00365
disease-0209,risk,hpo-00366
disease-0209,risk,hpo-13223
disease-0209,show,drug-10400
